year,model,n_months,mae,rmse,seasonal_persistence_mae,beats_seasonal_persistence
2014,climatology,12,411.74554876532005,860.39777023113,411.74554876532005,False
2016,climatology,12,2177.532261765476,2634.551470129005,2314.033579794552,True
2017,climatology,12,5916.708815935046,7251.5339117407075,4500.414241605128,False
2018,climatology,12,7312.907690606979,11356.11971743364,5770.100658743343,False
2019,climatology,12,10584.810069950423,12384.414646798514,7789.659485036968,False
2020,climatology,12,21376.200786287118,25711.6276069887,13479.534650038071,False
2021,climatology,12,22655.106393567563,26247.876117889737,8712.488620407266,False
2022,climatology,12,8076.31815183139,9311.72901438284,12073.936808207121,True
2023,climatology,12,1896.9658822613646,2705.711089040042,6207.565556973087,True
2024,climatology,12,13892.955495878598,19280.96025648293,13471.276143329313,False
2014,seasonal_persistence,12,411.74554876532005,860.39777023113,411.74554876532005,False
2016,seasonal_persistence,12,2314.033579794552,2716.984148570302,2314.033579794552,False
2017,seasonal_persistence,12,4500.414241605128,6053.949547257693,4500.414241605128,False
2018,seasonal_persistence,12,5770.100658743343,8795.67301161857,5770.100658743343,False
2019,seasonal_persistence,12,7789.659485036968,9712.331438161484,7789.659485036968,False
2020,seasonal_persistence,12,13479.534650038071,16323.097064219673,13479.534650038071,False
2021,seasonal_persistence,12,8712.488620407266,9830.885066303505,8712.488620407266,False
2022,seasonal_persistence,12,12073.936808207121,15795.115494655676,12073.936808207121,False
2023,seasonal_persistence,12,6207.565556973087,7324.705776815713,6207.565556973087,False
2024,seasonal_persistence,12,13471.276143329313,19074.282528882875,13471.276143329313,False
2014,annual_electricity_scale,12,475.0474240403485,1033.1340439874061,411.74554876532005,False
2016,annual_electricity_scale,12,2040.1534349287724,2509.6424321605655,2314.033579794552,True
2017,annual_electricity_scale,12,5013.028298683044,6339.306154376552,4500.414241605128,False
2018,annual_electricity_scale,12,5740.043129945135,9740.146466678032,5770.100658743343,True
2019,annual_electricity_scale,12,6693.253718695892,8439.983743599276,7789.659485036968,True
2020,annual_electricity_scale,12,15038.020770404992,19021.800340626163,13479.534650038071,False
2021,annual_electricity_scale,12,9363.914748044155,12485.364999087853,8712.488620407266,False
2022,annual_electricity_scale,12,9676.184126221518,12061.25971521049,12073.936808207121,True
2023,annual_electricity_scale,12,22377.31948742551,25379.359534098356,6207.565556973087,False
2024,annual_electricity_scale,12,10508.199141175202,12731.611057786393,13471.276143329313,True
2014,graybox_evap_scale,12,546.1724126879117,920.7608379083648,411.74554876532005,False
2016,graybox_evap_scale,12,2464.576344585103,2757.809840798367,2314.033579794552,False
2017,graybox_evap_scale,12,5997.027510521213,6668.808464442537,4500.414241605128,False
2018,graybox_evap_scale,12,8436.531618714413,11213.52084058615,5770.100658743343,False
2019,graybox_evap_scale,12,12710.551381961028,13842.663682527655,7789.659485036968,False
2020,graybox_evap_scale,12,21588.760323328144,23990.79565230992,13479.534650038071,False
2021,graybox_evap_scale,12,17078.070131594457,18143.305922903095,8712.488620407266,False
2022,graybox_evap_scale,12,18316.30691907283,22614.84863212632,12073.936808207121,False
2023,graybox_evap_scale,12,12388.943550551323,16998.86878850864,6207.565556973087,False
2024,graybox_evap_scale,12,17754.343263842984,21121.521808443576,13471.276143329313,False
2014,scale_plus_evap,12,346.03173680678105,853.7294908654112,411.74554876532005,True
2016,scale_plus_evap,12,2096.713468811029,2463.0780262924754,2314.033579794552,True
2017,scale_plus_evap,12,4824.350679189354,6127.9914841978,4500.414241605128,False
2018,scale_plus_evap,12,5783.065271609869,9769.927532901698,5770.100658743343,False
2019,scale_plus_evap,12,7873.360673045082,10071.026332624431,7789.659485036968,False
2020,scale_plus_evap,12,15524.767501127944,19462.840595498175,13479.534650038071,False
2021,scale_plus_evap,12,5356.587491495972,6163.667140911865,8712.488620407266,True
2022,scale_plus_evap,12,10736.789777763688,16211.21661529544,12073.936808207121,True
2023,scale_plus_evap,12,20625.202564235384,22242.664385031585,6207.565556973087,False
2024,scale_plus_evap,12,12017.553891981763,13922.552416038081,13471.276143329313,True
